premise,conclusion,kind,cross_attribute_part,support
fixed_acidity>=low(6),,trivial (universal conclusion),,195
fixed_acidity>=medium(8),fixed_acidity>=low(6),scale artifact,,94
fixed_acidity>=high(10),"fixed_acidity>=low(6), fixed_acidity>=medium(8)",scale artifact,,44
volatile_acidity>=low(0.3),,trivial (universal conclusion),,180
volatile_acidity>=medium(0.5),volatile_acidity>=low(0.3),scale artifact,,102
volatile_acidity>=high(0.7),"fixed_acidity>=low(6), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,fixed_acidity>=low(6),27
citric_acid_absent,volatile_acidity>=low(0.3),data-induced,volatile_acidity>=low(0.3),100
citric_acid_present,,trivial (universal conclusion),,100
residual_sugar=dry,,trivial (universal conclusion),,179
residual_sugar=off_dry,fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),19
residual_sugar=sweet,"chlorides=low_salt, citric_acid_present, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20)",data-induced,"chlorides=low_salt, citric_acid_present, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20)",2
chlorides=low_salt,,trivial (universal conclusion),,99
chlorides=high_salt,fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),101
free_so2>=low(6),,trivial (universal conclusion),,175
free_so2>=medium(15),"free_so2>=low(6), total_so2>=low(20)",data-induced,total_so2>=low(20),80
free_so2>=high(30),"fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=low(20)",15
total_so2>=low(20),,trivial (universal conclusion),,156
total_so2>=medium(60),"free_so2>=low(6), total_so2>=low(20)",data-induced,free_so2>=low(6),35
total_so2>=high(100),"free_so2>=low(6), total_so2>=low(20), total_so2>=medium(60)",data-induced,free_so2>=low(6),14
density=light,,trivial (universal conclusion),,107
density=heavy,fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),93
pH<=acidic(3.1),"fixed_acidity>=low(6), free_so2>=low(6)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6)",21
pH>=basic(3.4),,trivial (universal conclusion),,52
pH=neutral_range,,trivial (universal conclusion),,127
sulphates>=low(0.4),,trivial (universal conclusion),,200
sulphates>=medium(0.6),,trivial (universal conclusion),,120
sulphates>=high(0.8),sulphates>=medium(0.6),scale artifact,,26
alcohol>=9,,trivial (universal conclusion),,200
alcohol>=11,,trivial (universal conclusion),,65
