premise,conclusion,premise_size
good_quality;high_fixed_acidity;high_volatile_acidity,high_sulphates,3
high_fixed_acidity;high_residual_sugar;high_total_so2,high_density,3
high_fixed_acidity;high_pH;high_residual_sugar,citric_acid_present;high_alcohol;high_sulphates;high_volatile_acidity,3
high_alcohol;high_fixed_acidity;high_residual_sugar,citric_acid_present,3
good_quality;high_fixed_acidity;high_residual_sugar,citric_acid_present,3
good_quality;high_fixed_acidity;high_free_so2,high_sulphates,3
good_quality;high_fixed_acidity;high_total_so2,citric_acid_present;high_free_so2;high_sulphates,3
good_quality;high_fixed_acidity;high_pH,high_sulphates,3
good_quality;high_alcohol;high_fixed_acidity,citric_acid_present,3
citric_acid_present;good_quality;high_volatile_acidity,high_sulphates,3
good_quality;high_total_so2;high_volatile_acidity,high_alcohol;high_sulphates,3
good_quality;high_density;high_volatile_acidity,high_sulphates,3
citric_acid_present;good_quality;high_total_so2,high_free_so2,3
citric_acid_present;good_quality;high_pH,high_sulphates,3
high_chlorides;high_pH;high_residual_sugar,high_volatile_acidity,3
good_quality;high_free_so2;high_residual_sugar,citric_acid_present,3
high_pH;high_residual_sugar;high_total_so2,high_free_so2,3
good_quality;high_residual_sugar;high_total_so2,citric_acid_present;high_alcohol;high_free_so2,3
good_quality;high_pH;high_residual_sugar,high_volatile_acidity,3
high_alcohol;high_chlorides;high_total_so2,high_sulphates,3
good_quality;high_chlorides;high_total_so2,citric_acid_present;high_fixed_acidity;high_free_so2;high_sulphates,3
good_quality;high_chlorides;high_density,high_sulphates,3
high_alcohol;high_density;high_free_so2,high_sulphates,3
good_quality;high_density;high_free_so2,high_sulphates,3
high_alcohol;high_density;high_total_so2,high_sulphates,3
good_quality;high_density;high_total_so2,citric_acid_present;high_fixed_acidity;high_free_so2;high_sulphates,3
good_quality;high_pH;high_total_so2,high_sulphates,3
good_quality;high_density;high_pH,high_free_so2;high_sulphates,3
good_quality;high_alcohol;high_density,citric_acid_present,3
high_chlorides;high_fixed_acidity;high_residual_sugar;high_volatile_acidity,high_density,4
high_fixed_acidity;high_free_so2;high_residual_sugar;high_volatile_acidity,high_chlorides;high_density;high_total_so2,4
high_fixed_acidity;high_free_so2;high_pH;high_volatile_acidity,high_density,4
high_fixed_acidity;high_pH;high_total_so2;high_volatile_acidity,high_density,4
high_alcohol;high_fixed_acidity;high_total_so2;high_volatile_acidity,high_chlorides;high_density;high_sulphates,4
citric_acid_present;high_chlorides;high_fixed_acidity;high_pH,high_sulphates,4
citric_acid_present;high_fixed_acidity;high_pH;high_total_so2,high_free_so2,4
citric_acid_present;high_alcohol;high_fixed_acidity;high_total_so2,high_free_so2,4
citric_acid_present;high_alcohol;high_fixed_acidity;high_pH,high_sulphates,4
high_chlorides;high_fixed_acidity;high_free_so2;high_residual_sugar,high_density;high_total_so2,4
high_chlorides;high_fixed_acidity;high_pH;high_total_so2,high_density;high_volatile_acidity,4
high_alcohol;high_chlorides;high_fixed_acidity;high_pH,high_density;high_volatile_acidity,4
high_alcohol;high_fixed_acidity;high_free_so2;high_total_so2,citric_acid_present,4
high_alcohol;high_fixed_acidity;high_free_so2;high_pH,high_sulphates,4
high_alcohol;high_fixed_acidity;high_pH;high_total_so2,high_sulphates,4
high_alcohol;high_density;high_fixed_acidity;high_pH,high_chlorides;high_volatile_acidity,4
citric_acid_present;high_pH;high_residual_sugar;high_volatile_acidity,high_alcohol,4
citric_acid_present;high_alcohol;high_total_so2;high_volatile_acidity,high_sulphates,4
good_quality;high_chlorides;high_residual_sugar;high_volatile_acidity,high_density;high_sulphates,4
high_alcohol;high_residual_sugar;high_total_so2;high_volatile_acidity,citric_acid_present;high_chlorides;high_sulphates,4
high_alcohol;high_density;high_residual_sugar;high_volatile_acidity,high_chlorides,4
good_quality;high_residual_sugar;high_sulphates;high_volatile_acidity,high_chlorides;high_density,4
good_quality;high_alcohol;high_residual_sugar;high_volatile_acidity,citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_sulphates,4
good_quality;high_chlorides;high_free_so2;high_volatile_acidity,high_sulphates,4
citric_acid_present;good_quality;high_chlorides;high_residual_sugar,high_fixed_acidity,4
citric_acid_present;high_density;high_pH;high_residual_sugar,high_free_so2;high_sulphates;high_total_so2,4
citric_acid_present;high_alcohol;high_density;high_residual_sugar,high_fixed_acidity,4
citric_acid_present;good_quality;high_density;high_residual_sugar,high_fixed_acidity,4
citric_acid_present;good_quality;high_residual_sugar;high_sulphates,high_fixed_acidity,4
citric_acid_present;high_alcohol;high_pH;high_total_so2,high_free_so2;high_sulphates,4
citric_acid_present;high_alcohol;high_density;high_pH,high_free_so2;high_sulphates,4
high_alcohol;high_chlorides;high_free_so2;high_residual_sugar,citric_acid_present;high_density;high_fixed_acidity;high_sulphates;high_total_so2,4
high_alcohol;high_free_so2;high_residual_sugar;high_sulphates,citric_acid_present,4
high_alcohol;high_residual_sugar;high_sulphates;high_total_so2,citric_acid_present,4
high_density;high_pH;high_residual_sugar;high_sulphates,high_free_so2,4
high_alcohol;high_density;high_pH;high_residual_sugar,high_chlorides;high_volatile_acidity,4
high_alcohol;high_density;high_residual_sugar;high_sulphates,citric_acid_present;high_fixed_acidity,4
good_quality;high_chlorides;high_free_so2;high_pH,high_sulphates,4
high_alcohol;high_chlorides;high_density;high_pH,high_volatile_acidity,4
citric_acid_present;high_density;high_fixed_acidity;high_residual_sugar;high_volatile_acidity,high_chlorides,5
citric_acid_present;high_alcohol;high_chlorides;high_fixed_acidity;high_volatile_acidity,high_density,5
high_density;high_fixed_acidity;high_residual_sugar;high_total_so2;high_volatile_acidity,high_chlorides,5
high_density;high_fixed_acidity;high_residual_sugar;high_sulphates;high_volatile_acidity,high_chlorides,5
high_chlorides;high_fixed_acidity;high_pH;high_sulphates;high_volatile_acidity,high_density,5
good_quality;high_chlorides;high_fixed_acidity;high_sulphates;high_volatile_acidity,high_density,5
citric_acid_present;high_alcohol;high_fixed_acidity;high_free_so2;high_residual_sugar,high_sulphates,5
good_quality;high_chlorides;high_fixed_acidity;high_pH;high_sulphates,citric_acid_present;high_alcohol;high_density;high_free_so2;high_residual_sugar;high_total_so2;high_volatile_acidity,5
good_quality;high_fixed_acidity;high_free_so2;high_pH;high_sulphates,citric_acid_present,5
citric_acid_present;high_chlorides;high_free_so2;high_residual_sugar;high_volatile_acidity,high_total_so2,5
citric_acid_present;high_density;high_free_so2;high_residual_sugar;high_volatile_acidity,high_total_so2,5
citric_acid_present;high_free_so2;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density;high_total_so2,5
citric_acid_present;high_chlorides;high_free_so2;high_pH;high_volatile_acidity,high_sulphates,5
citric_acid_present;high_alcohol;high_chlorides;high_free_so2;high_volatile_acidity,high_density;high_fixed_acidity;high_sulphates,5
citric_acid_present;high_chlorides;high_pH;high_total_so2;high_volatile_acidity,high_sulphates,5
citric_acid_present;high_chlorides;high_density;high_pH;high_volatile_acidity,high_sulphates,5
citric_acid_present;high_alcohol;high_chlorides;high_density;high_volatile_acidity,high_fixed_acidity,5
citric_acid_present;good_quality;high_chlorides;high_sulphates;high_volatile_acidity,high_density;high_fixed_acidity,5
citric_acid_present;good_quality;high_free_so2;high_sulphates;high_volatile_acidity,high_fixed_acidity,5
citric_acid_present;good_quality;high_density;high_sulphates;high_volatile_acidity,high_fixed_acidity,5
citric_acid_present;good_quality;high_pH;high_sulphates;high_volatile_acidity,high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_total_so2,5
high_chlorides;high_free_so2;high_pH;high_residual_sugar;high_volatile_acidity,high_density,5
high_chlorides;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density;high_free_so2,5
high_alcohol;high_chlorides;high_pH;high_residual_sugar;high_volatile_acidity,high_density,5
high_alcohol;high_chlorides;high_residual_sugar;high_sulphates;high_volatile_acidity,citric_acid_present,5
high_free_so2;high_pH;high_residual_sugar;high_total_so2;high_volatile_acidity,high_density,5
high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_density,5
high_alcohol;high_chlorides;high_density;high_sulphates;high_volatile_acidity,high_fixed_acidity,5
high_alcohol;high_density;high_sulphates;high_total_so2;high_volatile_acidity,high_chlorides;high_fixed_acidity,5
citric_acid_present;high_chlorides;high_free_so2;high_residual_sugar;high_sulphates,high_density,5
citric_acid_present;high_free_so2;high_pH;high_residual_sugar;high_total_so2,high_sulphates,5
citric_acid_present;high_free_so2;high_pH;high_residual_sugar;high_sulphates,high_total_so2,5
citric_acid_present;high_alcohol;high_chlorides;high_free_so2;high_pH,high_sulphates,5
citric_acid_present;high_alcohol;high_chlorides;high_pH;high_sulphates,high_free_so2,5
citric_acid_present;good_quality;high_chlorides;high_pH;high_sulphates,high_alcohol;high_free_so2,5
citric_acid_present;good_quality;high_free_so2;high_sulphates;high_total_so2,high_fixed_acidity,5
citric_acid_present;high_alcohol;high_density;high_sulphates;high_total_so2,high_free_so2,5
high_alcohol;high_chlorides;high_density;high_free_so2;high_sulphates,high_fixed_acidity,5
high_alcohol;high_chlorides;high_density;high_sulphates;high_total_so2,high_fixed_acidity,5
high_alcohol;high_density;high_free_so2;high_sulphates;high_total_so2,citric_acid_present,5
citric_acid_present;high_density;high_fixed_acidity;high_free_so2;high_pH;high_volatile_acidity,high_total_so2,6
citric_acid_present;high_alcohol;high_pH;high_residual_sugar;high_sulphates;high_volatile_acidity,high_fixed_acidity,6
citric_acid_present;high_density;high_free_so2;high_pH;high_total_so2;high_volatile_acidity,high_fixed_acidity,6
good_quality;high_density;high_free_so2;high_pH;high_sulphates;high_volatile_acidity,high_chlorides,6
citric_acid_present;high_chlorides;high_density;high_residual_sugar;high_sulphates;high_total_so2,high_fixed_acidity,6
citric_acid_present;good_quality;high_chlorides;high_density;high_free_so2;high_sulphates,high_fixed_acidity,6
citric_acid_present;good_quality;high_density;high_free_so2;high_pH;high_sulphates,high_fixed_acidity;high_total_so2,6
good_quality;high_chlorides;high_density;high_free_so2;high_pH;high_sulphates,high_volatile_acidity,6
citric_acid_present;good_quality;high_alcohol;high_density;high_fixed_acidity;high_sulphates;high_volatile_acidity,high_chlorides,7
citric_acid_present;high_alcohol;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_sulphates,high_total_so2,7
citric_acid_present;good_quality;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_sulphates;high_volatile_acidity,high_alcohol,8
high_chlorides;high_density;high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_total_so2;high_volatile_acidity,citric_acid_present;good_quality;high_alcohol;high_fixed_acidity,8
citric_acid_present;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH;high_sulphates;high_total_so2;high_volatile_acidity,high_alcohol,9
citric_acid_present;good_quality;high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_sulphates;high_total_so2,high_volatile_acidity,9
citric_acid_present;good_quality;high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_residual_sugar;high_sulphates;high_total_so2;high_volatile_acidity,high_pH,11
