step,decision,premise,conclusion,counterexample_wine_id
1,REFUTE,,citric_acid_present;good_quality;high_alcohol;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_total_so2;high_volatile_acidity,0
2,REFUTE,,high_density;high_pH;high_volatile_acidity,1
3,REFUTE,,high_volatile_acidity,3
4,REFUTE,high_fixed_acidity,citric_acid_present;high_density;high_free_so2;high_total_so2,14
5,REFUTE,high_fixed_acidity,high_density;high_free_so2;high_total_so2,16
6,REFUTE,high_fixed_acidity,high_free_so2;high_total_so2,17
7,REFUTE,high_fixed_acidity,high_free_so2,23
8,REFUTE,citric_acid_present,high_fixed_acidity;high_free_so2,9
9,REFUTE,citric_acid_present,high_free_so2,13
10,REFUTE,high_residual_sugar,citric_acid_present;high_density;high_free_so2;high_sulphates;high_total_so2;high_volatile_acidity,18
11,REFUTE,high_residual_sugar,high_density;high_volatile_acidity,39
12,REFUTE,high_residual_sugar,high_density,64
13,REFUTE,high_pH,high_volatile_acidity,21
14,REFUTE,high_alcohol,citric_acid_present;good_quality;high_chlorides;high_density;high_fixed_acidity;high_free_so2;high_pH;high_residual_sugar;high_sulphates;high_total_so2;high_volatile_acidity,45
15,REFUTE,high_alcohol,high_pH;high_total_so2;high_volatile_acidity,142
16,REFUTE,high_alcohol,high_pH;high_total_so2,173
17,REFUTE,high_alcohol,high_pH,210
18,REFUTE,good_quality,citric_acid_present;high_chlorides;high_fixed_acidity;high_free_so2;high_sulphates;high_total_so2,7
19,REFUTE,good_quality,high_free_so2,8
20,REFUTE,high_fixed_acidity;high_volatile_acidity,high_sulphates,41
21,REFUTE,high_fixed_acidity;high_residual_sugar,citric_acid_present;good_quality;high_alcohol;high_chlorides;high_density;high_free_so2;high_pH;high_sulphates;high_total_so2;high_volatile_acidity,269
22,REFUTE,high_fixed_acidity;high_residual_sugar,citric_acid_present;high_chlorides;high_density;high_sulphates,272
23,REFUTE,high_fixed_acidity;high_residual_sugar,citric_acid_present;high_density;high_sulphates,324
24,REFUTE,high_fixed_acidity;high_residual_sugar,high_density;high_sulphates,409
25,REFUTE,high_fixed_acidity;high_residual_sugar,high_density,740
26,REFUTE,high_fixed_acidity;high_pH,citric_acid_present;high_alcohol;high_residual_sugar;high_sulphates;high_volatile_acidity,60
27,REFUTE,high_fixed_acidity;high_pH,citric_acid_present;high_sulphates,123
28,REFUTE,high_alcohol;high_fixed_acidity,citric_acid_present;high_sulphates;high_volatile_acidity,216
29,REFUTE,high_alcohol;high_fixed_acidity,high_volatile_acidity,278
30,REFUTE,good_quality;high_fixed_acidity,citric_acid_present;high_sulphates,128
31,REFUTE,good_quality;high_fixed_acidity,high_sulphates,873
32,REFUTE,citric_acid_present;high_pH,high_sulphates,59
33,REFUTE,citric_acid_present;high_alcohol,high_fixed_acidity,229
34,REFUTE,citric_acid_present;good_quality,high_fixed_acidity,267
